"gender","alwaysDepressed","alwaysAnxious","alwaysStressed","alwaysLoveAndCareForYourself","alwaysAccountableAndResponsibleForYourActions","alwaysCalm","extreAustraliayGoodAbilityToSense","alwaysHaveDigestiveProblems","myBodyIsHypermobileAndLovesToMove","alwaysHaveFun","alwaysSerious","extreAustraliayGoodCommunicator","iDontFeelParticularlyPleasedWithTheWayIAm","iAmIntenselyInterestedInOtherPeople","iFeelThatLifeIsVeryRewarding","iHaveVeryWarmFeelingsTowardsAlmostEveryone","iRarelyWakeUpFeelingRested","iAmNotParticularlyOptimisticAboutTheFuture","iFindMostThingsAmusing","iAmAlwaysCommittedAndInvolved","iDoNotThinkThatTheWorldIsAGoodPlace","iAmWellSatisfiedAboutEverythingInMyLife","iDontThinkILookAttractive","thereIsAGapBetweenWhatIWouldLikeToDoAndWhatIHaveDone","iAmVeryHappy","iAlwaysHaveACheerfulEffectOnOthers","iCanFitInFindTimeForEverythingIWantTo","iFeelThatIAmNotEspeciallyInControlOfMyLife","iFeelAbleToTakeAnythingOn","iFeelFullyMentallyAlert","iOftenExperienceJoyAndElation","iDontHaveAParticularSenseOfMeaningAndPurposeInMyLife","iFeelIHaveAGreatDealOfEnergy","iUsuallyHaveAGoodInfluenceOnEvents","iDontHaveFunWithOtherPeople","iDontHaveParticularlyHappyMemoriesOfThePast","onTheWholeIAmSatisfiedWithMyself","atTimesIThinkIAmNoGoodAtAll","iFeelThatIHaveANumberOfGoodQualities","iFeelIDoNotHaveMuchToBeProudOf","iCertainlyFeelUselessAtTimes","iFeelThatImAPersonOfWorth","iWishICouldHaveMoreRespectForMyself","allInAllIAmInclinedToThinkThatIAmAFailure","iTakeAPositiveAttitudeTowardMyself","leadersOughtToMakeUpTheirOwnMindsAndNotWasteTimeConsultingOther","betterDecisionsAreMadeWhenLeadersDiscussMattersWithOthersFirst","friendsUsuallyCantAgree","familyMembersUsuallyEnjoyDoingThingsTogether","iPreferNotToShareMyGoodIdeasWithOthers","iLikeToCooperateWithOthersOnProjects","itsFunToTakePartInRunningAClub","socialClubsHardlyEverWorkWell","itIsOftenDifficultWorkingWithOtherPeople","itIsMoreProductiveToWorkOnOnesOwn","teamWorkIsTheBestWayToGetResults","boysAndGirlsCanUsuallyWorkTogetherQuiteWell","involvementInJointProjectsIsVerySatisfying","itIsDifficultToArriveAtAnAgreedDecisionInGroups","committeesAreAWasteOfTime","iLikeToGetToKnowPeopleBetter","friendsOughtToBeConcernedAboutEachOthersWishes","peopleOfADifferentSexCanHardlyEverAgree","doYouFeelASenseOfPurposeAndMeaningInYourLife","doYouOftenFeelASenseOfGratitudeForTheGoodThingsHappenedInYourLi","doYouOftenExperienceASenseOfInnerPeaceAndCalmness","doYouBelieveInAHigherPowerOrDivineBeingThatInfluencesYourLife","howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki","howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends","doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded","howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV","doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer","iLikeMyCurrentLivingAccomodation","iPreferStayingInAQuietPlace","iLikeCookingFood","iAmOpenToEngagingInPracticesToExpandMyKnowledgeBase","iAmOpenToEngagingInPracticesWhichFocusOnMyInterestsAndBeliefs","iFeelLikeIRegularlyDedicateTimeToMaintainMyWellness","iWillinglySeekOpportunitiesWhichFeelMeaningfulAndRewardingToMe","alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai","alwaysMakingProgress","whenInAFriendshipIsYourRelationshipVeryIntimate","whenInASexualRelationshipIsYourRelationshipVeryIntimate","iFeelCapable","iAttemptToManageMyTimeToMaintainAHealthyWorkAndLifeBalance"
"Female",0,-2,0,2,1,1,0,-2,2,0,-1,2,-1,2,2,2,-2,-2,0,0,-1,0,-1,1,0,1,-2,0,0,-1,0,0,2,1,-1,-1,0,0,0,0,-2,1,1,-2,2,0,1,0,1,-1,1,2,-2,-1,-1,2,1,1,-1,-1,2,1,-2,0,0,-2,"No","They complement each other","Sometimes","Yes, I have both","At least once a month","Never",0,-2,2,1,1,0,2,1,1,1,2,0,1
"Female",1,1,0,0,0,0,1,1,0,0,0,0,2,0,-2,1,2,1,-2,0,2,0,1,1,-2,-2,-2,0,-1,-2,-1,0,-2,0,1,1,0,-2,0,-2,0,0,1,0,-2,-2,1,-2,0,0,-2,-1,1,0,2,-2,0,-2,0,0,1,0,-2,-2,0,0,"Yes","They complement each other","Always","Yes, I have both","At least once a week","Rarely",0,0,0,0,0,1,0,0,0,0,1,0,1
"Female",-1,0,0,1,1,0,1,-2,0,1,0,-2,-2,-1,0,0,-2,-2,0,0,1,1,-1,-2,-2,0,1,-1,1,1,1,0,0,0,-2,0,1,-1,1,0,-2,0,0,-2,0,1,1,0,0,-1,1,1,-2,0,1,0,0,0,0,-1,1,2,0,1,1,1,"Yes","They conflict","Sometimes","Yes, I have both","At least once a month","Never",1,0,-2,2,1,0,0,2,1,0,0,0,1
"Female",-1,-2,0,1,0,-2,0,-1,0,0,-2,-2,0,-1,1,0,-1,1,0,0,0,0,0,2,-2,0,1,-2,0,0,0,-2,0,0,-2,-1,1,-2,1,-2,1,-1,0,0,1,0,1,1,0,-1,0,-1,0,0,0,-2,1,0,-2,-2,-2,1,-2,0,0,0,"Yes","They conflict","Sometimes","No","At least once a month","Never",0,-2,2,1,0,0,1,2,0,0,1,0,0
"Male",-2,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,-2,2,1,1,2,1,0,2,0,1,0,2,1,1,-1,1,1,-2,0,0,1,1,0,1,1,-2,-2,0,-1,2,2,2,2,2,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,"No","They complement each other","Never","No","No","Never",2,1,0,1,1,1,0,1,0,-2,0,1,-1
"Female",0,-2,-2,1,1,-2,1,2,-2,-2,-2,1,-2,0,-2,0,1,0,1,0,-1,0,-1,-2,-1,2,0,-2,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,2,0,1,0,1,1,0,0,0,-2,0,0,2,1,0,-2,0,0,0,2,-2,0,1,0,"Yes","They complement each other","Never","Yes, I have both","No","Sometimes",0,2,0,1,1,1,2,2,0,0,0,0,1
"Female",-1,-2,0,0,2,-2,1,1,0,1,-2,-2,-2,0,-2,0,0,1,1,-1,-1,-2,-2,0,1,2,-2,-2,-1,1,1,0,-2,1,-1,0,0,0,0,-2,1,0,0,-2,0,-2,0,-2,1,-1,-2,0,-2,-1,-2,0,1,0,1,-2,1,2,-2,0,0,-2,"No","They are separate","Rarely","Yes, I have both","At least once a week","Always",1,0,-2,2,1,0,1,1,1,-2,-2,0,0
"Female",-1,0,0,-2,0,-1,0,-2,-2,-2,0,1,2,2,0,-2,-1,2,1,0,1,-1,2,1,-1,1,-2,2,0,0,0,-1,-2,0,0,0,0,1,0,-2,2,-1,1,0,-1,-2,2,-1,1,0,2,1,1,2,-2,2,1,2,-2,-2,2,2,-1,0,1,-1,"No","They complement each other","Always","Yes, I have both","More than three times a week","Rarely",2,1,2,2,1,1,2,1,0,0,0,1,1
"Female",-2,-1,-2,0,2,0,-2,0,1,0,1,1,2,1,-2,-2,-2,2,-2,0,1,-1,-2,2,0,-2,1,1,-1,2,0,-2,-2,1,0,-2,0,0,1,-2,0,0,0,-2,1,1,2,1,1,-2,2,0,1,-2,1,0,0,0,1,-2,0,1,1,1,0,-2,"Yes","They complement each other","Never","Yes, I have family","At least once a week","Sometimes",-2,-2,1,1,1,0,1,0,0,1,1,1,1
"Male",-1,0,-2,1,2,2,1,0,1,0,0,0,-1,2,2,0,-1,0,1,1,-2,1,0,-2,1,0,2,0,0,1,0,-2,0,0,-1,-1,1,0,1,1,-1,1,-2,0,1,-1,1,-2,0,0,1,0,1,-1,-1,2,0,1,-2,0,0,1,-2,2,1,2,"Yes","They are separate","Rarely","Yes, I have friends","More than three times a week","Sometimes",1,0,1,1,1,0,1,1,0,2,0,0,0
