"gender","alwaysDepressed","alwaysAnxious","alwaysStressed","alwaysLoveAndCareForYourself","alwaysAccountableAndResponsibleForYourActions","alwaysCalm","extreAustraliayGoodAbilityToSense","alwaysHaveDigestiveProblems","myBodyIsHypermobileAndLovesToMove","alwaysHaveFun","alwaysSerious","extreAustraliayGoodCommunicator","iDontFeelParticularlyPleasedWithTheWayIAm","iAmIntenselyInterestedInOtherPeople","iFeelThatLifeIsVeryRewarding","iHaveVeryWarmFeelingsTowardsAlmostEveryone","iRarelyWakeUpFeelingRested","iAmNotParticularlyOptimisticAboutTheFuture","iFindMostThingsAmusing","iAmAlwaysCommittedAndInvolved","iDoNotThinkThatTheWorldIsAGoodPlace","iAmWellSatisfiedAboutEverythingInMyLife","iDontThinkILookAttractive","thereIsAGapBetweenWhatIWouldLikeToDoAndWhatIHaveDone","iAlwaysHaveACheerfulEffectOnOthers","iCanFitInFindTimeForEverythingIWantTo","iFeelThatIAmNotEspeciallyInControlOfMyLife","iFeelAbleToTakeAnythingOn","iFeelFullyMentallyAlert","iOftenExperienceJoyAndElation","iDontHaveAParticularSenseOfMeaningAndPurposeInMyLife","iFeelIHaveAGreatDealOfEnergy","iUsuallyHaveAGoodInfluenceOnEvents","iDontHaveFunWithOtherPeople","iDontHaveParticularlyHappyMemoriesOfThePast","onTheWholeIAmSatisfiedWithMyself","atTimesIThinkIAmNoGoodAtAll","iFeelThatIHaveANumberOfGoodQualities","iFeelIDoNotHaveMuchToBeProudOf","iCertainlyFeelUselessAtTimes","iFeelThatImAPersonOfWorth","iWishICouldHaveMoreRespectForMyself","allInAllIAmInclinedToThinkThatIAmAFailure","iTakeAPositiveAttitudeTowardMyself","leadersOughtToMakeUpTheirOwnMindsAndNotWasteTimeConsultingOther","betterDecisionsAreMadeWhenLeadersDiscussMattersWithOthersFirst","friendsUsuallyCantAgree","familyMembersUsuallyEnjoyDoingThingsTogether","iPreferNotToShareMyGoodIdeasWithOthers","iLikeToCooperateWithOthersOnProjects","itsFunToTakePartInRunningAClub","socialClubsHardlyEverWorkWell","itIsOftenDifficultWorkingWithOtherPeople","itIsMoreProductiveToWorkOnOnesOwn","teamWorkIsTheBestWayToGetResults","boysAndGirlsCanUsuallyWorkTogetherQuiteWell","involvementInJointProjectsIsVerySatisfying","itIsDifficultToArriveAtAnAgreedDecisionInGroups","committeesAreAWasteOfTime","iLikeToGetToKnowPeopleBetter","friendsOughtToBeConcernedAboutEachOthersWishes","peopleOfADifferentSexCanHardlyEverAgree","doYouFeelASenseOfPurposeAndMeaningInYourLife","doYouOftenFeelASenseOfGratitudeForTheGoodThingsHappenedInYourLi","doYouOftenExperienceASenseOfInnerPeaceAndCalmness","doYouBelieveInAHigherPowerOrDivineBeingThatInfluencesYourLife","howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki","howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends","doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded","howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV","doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer","iLikeMyCurrentLivingAccomodation","iPreferStayingInAQuietPlace","iLikeCookingFood","iAmOpenToEngagingInPracticesToExpandMyKnowledgeBase","iAmOpenToEngagingInPracticesWhichFocusOnMyInterestsAndBeliefs","iFeelLikeIRegularlyDedicateTimeToMaintainMyWellness","iWillinglySeekOpportunitiesWhichFeelMeaningfulAndRewardingToMe","alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai","alwaysMakingProgress","whenInAFriendshipIsYourRelationshipVeryIntimate","whenInASexualRelationshipIsYourRelationshipVeryIntimate","iFeelCapable","iAttemptToManageMyTimeToMaintainAHealthyWorkAndLifeBalance","happiness"
"Female",0,2,1,-2,-2,-1,1,2,-2,-2,-2,2,2,0,1,1,0,0,-2,1,-2,-2,1,1,1,0,-2,0,1,1,-1,-1,1,-1,0,1,1,1,-2,0,1,0,1,2,-2,1,1,0,-2,1,2,-2,-2,0,1,2,2,0,0,0,2,-2,1,2,1,"Yes","They complement each other","Rarely","Yes, I have family","More than three times a week","Rarely",0,0,0,2,1,0,1,-1,-2,2,0,0,0,-0.165654
"Female",-1,-1,-1,2,1,1,0,-2,-2,1,-2,0,-1,0,1,0,-1,-1,0,0,-1,1,-2,-2,1,2,-1,1,1,1,-1,1,1,-1,-1,2,-1,2,0,0,1,1,-1,2,0,1,-1,1,-1,2,0,-2,-1,0,1,1,0,-1,0,0,1,-1,1,1,2,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a week","Rarely",0,1,0,1,1,1,1,2,0,2,0,1,1,-17.6764
"Male",-2,-1,-2,2,1,1,0,-2,2,2,0,1,-2,0,1,0,0,-2,1,2,0,1,-1,0,1,0,-2,2,0,1,1,2,2,1,0,1,-2,1,-2,-2,1,1,-2,1,-2,2,1,1,0,1,2,0,1,0,1,1,1,1,-1,0,1,0,1,1,1,"Yes","They complement each other","Never","Yes, I have both","No","Always",0,1,0,1,2,1,1,0,1,1,1,1,1,16.2373
"Male",-2,0,-2,0,1,0,0,-2,-2,-2,-2,-1,1,-1,0,-2,2,2,0,0,1,0,0,1,-2,-1,1,-1,0,0,1,-1,-1,0,0,1,1,0,2,0,0,-1,0,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,-2,1,0,0,-2,-2,0,-1,"No","They are separate","Sometimes","Yes, I have family","Rarely","Rarely",1,2,0,0,0,0,-1,-2,-1,-2,-2,-1,1,5.68999
"Male",-2,0,-2,1,1,0,0,0,0,2,-1,-2,-1,0,1,2,1,-1,0,2,-1,2,-1,-1,1,0,-1,1,0,1,-1,0,1,-1,-1,1,-1,1,-2,-2,1,0,-1,1,0,1,0,1,-1,0,-2,1,-1,1,1,1,1,1,-2,1,1,0,2,1,2,"Yes","They complement each other","Always","No","At least once a month","Never",1,1,0,2,1,2,1,2,0,1,1,2,0,-6.63632
"Female",1,2,-2,-2,1,-1,-2,2,-2,-1,-2,-1,2,-2,0,-1,2,1,-2,0,0,-1,0,1,0,-1,2,0,0,-1,1,0,0,0,-2,0,1,-1,0,1,0,1,0,-2,-1,0,-2,0,0,0,-2,0,0,2,0,1,-2,-2,0,-1,0,1,0,1,-2,"Yes","They are separate","Sometimes","Yes, I have both","Rarely","Rarely",0,2,0,0,0,0,0,-2,-2,0,0,0,1,-0.193173
"Male",-2,0,-2,-1,0,0,1,1,0,-2,-2,0,0,-2,0,-2,1,0,1,0,-1,1,1,1,2,0,2,0,0,1,0,1,1,-1,-2,1,1,2,-1,1,2,2,0,1,0,1,0,0,0,1,1,0,-2,1,2,1,1,0,1,1,2,-2,2,2,1,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a month","Rarely",2,1,2,2,2,1,2,0,0,1,0,1,1,3.3417
"Female",-2,0,0,0,2,1,2,1,1,-1,0,1,1,1,2,2,0,0,0,1,-2,1,-2,2,2,1,0,1,1,2,1,-1,2,1,-1,1,2,1,1,0,0,1,0,1,-1,1,-1,2,-2,2,2,-2,-1,-1,0,2,2,-1,0,2,2,0,0,1,1,"Yes","They are separate","Rarely","Yes, I have family","No","Never",1,0,1,2,2,1,1,0,0,1,2,2,1,24.9857
"Male",-2,1,-2,1,1,1,1,-2,1,0,0,-2,1,-2,1,0,0,0,1,0,0,1,-2,1,0,-2,-2,0,1,1,0,0,0,-1,-2,1,1,2,0,1,0,1,-1,0,1,1,-1,0,-2,1,-2,-2,0,1,0,1,0,-2,-2,0,0,-1,0,0,1,"No","They conflict","Sometimes","Yes, I have both","More than three times a week","Never",2,2,2,2,2,2,1,1,0,-1,1,1,2,-1.47669
"Female",-2,-2,0,0,2,2,2,1,2,1,-2,2,-1,1,2,2,2,-1,1,1,-2,0,-2,-2,1,0,-2,1,1,1,-2,0,1,-2,-2,1,-2,2,-1,-1,1,0,-1,2,-1,1,-1,1,-1,1,0,-2,-1,1,0,1,-2,0,-1,2,0,-1,1,1,1,"No","They complement each other","Rarely","Yes, I have both","At least once a month","Always",0,2,2,2,2,1,1,2,2,1,1,2,0,2.6183
